source,cos_sim,target,level
"Говорит старику старуха: «Воротись, поклонися рыбке. ",0.09063296862586324,"Говорит, что мало ей новой избы. ","A2, B1"
"— Ну как, мужичок, надумал, чего тебе надобно?",0.3106905745496767,"— Ну, старик, придумал, что тебе нужно?",B1
"Иван-царевич сел на серого волка, и поехали они в путь. ",0.2706379594086761,Сел Иван на Серого Волка и поехал за королевной. ,"B1, B2"
"Иван-царевич сел на серого волка, и поехали они в путь. ",0.1962042801143403,"Сел Иван на волка, и они быстро добрались до дворца царя-отца. ","B1, B2"
"И только чуть успел окончить последние слова, как на этом красивом острове появился мраморный и очень красивый дворец -такой, какого нет и не было ни в одном столичном городе! ",0.19650554938359738,"После освобождения пожелал Емеля, чтобы появился большой, красивый дворец, и снова исполнилось его желание.","B1, B2"
У меня кафтан волшебный. ,0.28537964370977104,"Мужик отвечает:   — А мне шуба не нужна, потому что у меня кафтан волшебный! ",B1
Пустил стрелу средний брат — полетела стрела к богатому купцу во двор. ,0.44455171513673314,Стрела среднего брата прилетела на богатый купеческий двор. ,"A2, B1"
"Замесила муку на сметане, состряпала колобок, изжарила в масле и на окошко студить положила.",0.09686596116008178,"Он был горячий, поэтому бабка положила его на окно.",A1
"— Потом обогнал меня другой всадник на красном коне, сам красный и весь в красном одет; это кто такой?",0.10831420871235482,Там она стала шить красивые рубашки. ,"A2, B1"
"Отпустил он рыбку золотую И сказал ей ласковое слово: «Бог с тобою, золотая рыбка! ",0.13547334266810765,"Заговорила вдруг золотая рыбка человеческим голосом, попросила старика отпустить её обратно в море и пообещала исполнить любое его желание. ","A2, B1"
Встал старик с лавки и говорит:,0.23327877408925493,Однажды старуха говорит:,B1
"Иван-царевич пошел от царя Долмата в великой печали, обещая ему достать коня златогривого.",0.3216867461163631,"Послушал царь Долмат историю Ивана-царевича и обещал отдать жар-птицу его отцу, если приведет ему Иван-царевич коня златогривого из соседнего государства.","B1, B2"
Начало пригревать весеннее солнышко. ,0.349531009690222,"На небе тёплое весеннее солнышко, на земле зелёная трава, птицы поют. ","A1, A2"
"Вот пришли все три брата к царю, принесли каждый свой ковер. ",0.4727255530996456,"Пришли и старшие братья, принесли каждый свой хлеб. ","A2, B1"
"Ну, теперь твоя душенька довольна». ",0.5987707560499712,Спросил старик старуху: «… теперь твоя душенька довольна?» ,"A2, B1"
— Это ночь моя темная — всё мои слуги верные! ,0.17017522909987376,Это была ночь чёрная. ,"A2, B1"
Василиса Прекрасная,0.27465792618881846,"Когда Василиса Прекрасная вернулась домой, этот волшебный огонь сжёг злую мачеху и её дочерей.                ","A2, B1"
Мужик и говорит: «Что мне твой тулуп! ,0.1174559549134985,Мужик отвечает:  ,B1
И живут-поживают с тех пор старик со старухой. ,0.552832698014527,И живут с тех пор старик со старухой. ,B1
Василисе помогала ее куколка. ,0.1528061831821933,"Но во всех трудных делах ей помогала волшебная кукла, которую ей дала родная мать перед смертью. ","A2, B1"
