source,cos_sim,target,level
"В некотором царстве жил-был купец. Двенадцать лет жил он в супружестве и прижил только одну дочь, Василису Прекрасную. Когда мать скончалась, девочке было восемь лет. Умирая, купчиха призвала к себе дочку, вынула из-под одеяла куклу, отдала ей и сказала: — Слушай, Василисушка! Помни и исполни последние мои слова. Я умираю и вместе с родительским благословением оставляю тебе вот эту куклу; береги ее всегда при себе и никому не показывай; а когда приключится тебе какое горе, дай ей поесть и спроси у нее совета. Покушает она и скажет тебе, чем помочь несчастью. Затем мать поцеловала дочку и померла. После смерти жены купец потужил, как следовало, а потом стал думать, как бы опять жениться. Он был человек хороший; за невестами дело не стало, но больше всех по нраву пришлась ему одна вдовушка. Она была уже в летах, имела своих двух дочерей, почти однолеток Василисе, — стало быть, и хозяйка, и мать опытная. Купец женился на вдовушке, но обманулся и не нашел в ней доброй матери для своей Василисы. Василиса была первая на все село красавица; мачеха и сестры завидовали ее красоте, мучили ее всевозможными работами, чтоб она от трудов похудела, а от ветру и солнца почернела; совсем житья не было! Василиса все переносила безропотно и с каждым днем все хорошела и полнела, а между тем мачеха с дочками своими худела и дурнела от злости несмотря на то, что они всегда сидели сложа руки, как барыни. Как же это так делалось? Василисе помогала ее куколка. Без этого, где бы девочке сладить со всею работою! Зато Василиса сама, бывало, не съест, а уж куколке оставит самый лакомый кусочек, и вечером, как все улягутся, она запрется в чуланчике, где жила, и потчевает ее, приговаривая: — На, куколка, покушай, моего горя послушай! Живу я в доме у батюшки, не вижу себе никакой радости; злая мачеха гонит меня с белого света. Научи ты меня, как мне быть и жить и что делать? Куколка покушает, да потом и дает ей советы и утешает в горе, а наутро всякую работу справляет за Василису; та только отдыхает в холодочке да рвет цветочки, а у нее уж и гряды выполоты, и капуста полита, и вода наношена, и печь вытоплена. Куколка еще укажет Василисе и травку от загару. Хорошо было жить ей с куколкой. Прошло несколько лет; Василиса выросла и стала невестой. Все женихи в городе присватываются к Василисе; на мачехиных дочерей никто и не посмотрит. Мачеха злится пуще прежнего и всем женихам отвечает: — Не выдам меньшой прежде старших! А проводя женихов, побоями вымещает зло на Василисе. Вот однажды купцу понадобилось уехать из дому на долгое время по торговым делам. Мачеха и перешла на житье в другой дом, а возле этого дома был дремучий лес, а в лесу на поляне стояла избушка, а в избушке жила Баба-яга; никого она к себе не подпускала и ела людей, как цыплят. Перебравшись на новоселье, купчиха то и дело посылала за чем-нибудь в лес ненавистную ей Василису, но эта завсегда возвращалась домой благополучно: куколка указывала ей дорогу и не подпускала к избушке Бабы-яги. Пришла осень. Мачеха раздала всем трем девушкам вечерние работы: одну заставила кружева плести, другую чулки вязать, а Василису прясть. Погасила огонь во всем доме, оставила только одну свечку там, где работали девушки, и сама легла спать. Девушки работали. Вот нагорело на свечке; одна из мачехиных дочерей взяла щипцы, чтоб поправить светильню, да вместо того, по приказу матери, как будто нечаянно и потушила свечку. — Что теперь нам делать? — говорили девушки. — Огня нет в целом доме. Надо сбегать за огнем к Бабе-яге! — Мне от булавок светло! — сказала та, что плела кружево. — Я не пойду. — И я не пойду, — сказала та, что вязала чулок. — Мне от спиц светло! — Тебе за огнем идти, — закричали обе. — Ступай к Бабе-яге! И вытолкали Василису из горницы. Василиса пошла в свой чуланчик, поставила перед куклою приготовленный ужин и сказала: — На, куколка, покушай да моего горя послушай: меня посылают за огнем к бабе-яге; Баба-яга съест меня! Куколка поела, и глаза ее заблестели, как две свечки. — Не бойся, Василисушка! — сказала она. — Ступай, куда посылают, только меня держи всегда при себе. При мне ничего не станется с тобой у Бабы-яги. Василиса собралась, положила куколку свою в карман и, перекрестившись, пошла в дремучий лес. Идет она и дрожит. Вдруг скачет мимо ее всадник: сам белый, одет в белом, конь под ним белый, и сбруя на коне белая, — на дворе стало рассветать. Идет она дальше, как скачет другой всадник: сам красный, одет в красном и на красном коне, — стало всходить солнце. Василиса прошла всю-ночь и весь день, только к следующему вечеру вышла на полянку, где стояла избушка Яги-бабы; забор вокруг избы из человечьих костей, на заборе торчат черепа людские с глазами; вместо дверей у ворот — ноги человечьи, вместо запоров — руки, вместо замка — рот с острыми зубами. Василиса обомлела от ужаса и стала как вкопанная. Вдруг едет опять всадник: сам черный, одет во всем черном и на черном коне; подскакал к воротам Бабы-яги и исчез, как сквозь землю провалился, — настала ночь. Но темнота продолжалась недолго: у всех черепов на заборе засветились глаза, и на всей поляне стало светло, как среди дня. Василиса дрожала со страху, но, не зная, куда бежать, оставалась на месте. Скоро послышался в лесу страшный шум: деревья трещали, сухие листья хрустели; выехала из лесу Баба-яга — в ступе едет, пестом погоняет, помелом след заметает. Подъехала к воротам, остановилась и, обнюхав вокруг себя, закричала: — Фу, фу! Русским духом пахнет! Кто здесь? Василиса подошла к старухе со страхом и, низко поклоняясь, сказала: — Это я, бабушка! Мачехины дочери прислали меня за огнем к тебе. — Хорошо, — сказала Баба-яга, — знаю я их, поживи ты наперед да поработай у меня, тогда и дам тебе огня; а коли нет, так я тебя съем! Потом обратилась к воротам и вскрикнула: — Эй, запоры мои крепкие, отомкнитесь; ворота мои широкие, отворитесь! Ворота отворились, а Баба-яга въехала, посвистывая, за нею вошла Василиса, а потом опять все заперлось. Войдя в горницу, Баба-яга растянулась и говорит Василисе: — Подавай-ка сюда, что там есть в печи: я есть хочу. Василиса зажгла лучину от тех черепов, что на заборе, и начала таскать из печки да подавать яге кушанье, а кушанья настряпано было человек на десять; из погреба принесла она квасу, меду, пива и вина. Все съела, все выпила старуха; Василисе оставила только щец немножко, краюшку хлеба да кусочек поросятины. Стала яга-баба спать ложиться и говорит: — Когда завтра я уеду, ты смотри — двор вычисти, избу вымети, обед состряпай, белье приготовь да пойди в закром, возьми четверть пшеницы и очисть ее от чернушки. Да чтоб все было сделано, а не то — съем тебя! После такого наказу Баба-яга захрапела; а Василиса поставила старухины объедки перед куклою, залилась слезами и говорила: — На, куколка, покушай, моего горя послушай! Тяжелую дала мне яга-баба работу и грозится съесть меня, коли всего не исполню; помоги мне! Кукла ответила: — Не бойся, Василиса Прекрасная! Поужинай, помолися да спать ложися; утро мудреней вечера! Ранешенько проснулась Василиса, а Баба-яга уже встала, выглянула в окно: у черепов глаза потухают; вот мелькнул белый всадник — и совсем рассвело. Баба-яга вышла на двор, свистнула — перед ней явилась ступа с пестом и помелом. Промелькнул красный всадник — взошло солнце. Баба-яга села в ступу и выехала со двора, пестом погоняет, помелом след заметает. Осталась Василиса одна, осмотрела дом бабы-яги, подивилась изобилью во всем и остановилась в раздумье: за какую работу ей прежде всего приняться. Глядит, а вся работа уже сделана; куколка выбирала из пшеницы последние зерна чернушки. — Ах ты, избавительница моя! — сказала Василиса куколке. — Ты от беды меня спасла. — Тебе осталось только обед состряпать, — отвечала куколка, влезая в карман Василисы. — Состряпай с богом, да и отдыхай на здоровье! К вечеру Василиса собрала на стол и ждет Бабу-ягу. Начало смеркаться, мелькнул за воротами черный всадник — и совсем стемнело; только светились глаза у черепов. Затрещали деревья, захрустели листья — едет баба-яга. Василиса встретила ее. — Все ли сделано? — спрашивает яга. — Изволь посмотреть сама, бабушка! — молвила Василиса. Баба-яга все осмотрела, подосадовала, что не за что рассердиться, и сказала: — Ну, хорошо! Потом крикнула: — Верные мои слуги, сердечные други, смолите мою пшеницу! Явились три пары рук, схватили пшеницу и унесли вон из глаз. Баба-яга наелась, стала ложиться спать и опять дала приказ Василисе: — Завтра сделай ты то же, что и нынче, да сверх того возьми из закрома мак да очисти его от земли по зернышку, вишь, кто-то по злобе земли в него намешал! Сказала старуха, повернулась к стене и захрапела, а Василиса принялась кормить свою куколку. Куколка поела и сказала ей по-вчерашнему:",0.289691142526776,"
Жила-была красивая девушка Василиса Прекрасная. Её мама умерла, поэтому она осталась с мачехой и её двумя дочерями.  Мачеха и её дочери не любили Василису Прекрасную, заставляли её много работать. Но во всех трудных делах ей помогала волшебная кукла, которую ей дала родная мать перед смертью. Однажды злая мачеха и её дочери послали Василису к Бабе-Яге в лес за огнём, они хотели, чтобы Баба-Яга съела девушку. 
Пошла Василиса в лес и взяла с собой волшебную куколку. Шла она шла и вдруг встретила белого всадника. Поняла девушка, что это – белый день. Пошла она дальше и встретила красного всадника. Поняла Василиса, что это – Солнце красное. Долго шла красавица по лесу и увидела чёрного всадника. Это была ночь чёрная. Все они были слуги Бабы -Яги.
Пришла Василиса к Бабе-Яге, рассказала, что сёстры послали её за огнём. Колдунья дала девушке трудные задания. Василиса выполнила всё сделала с помощью маминой волшебной куколки, поэтому Баба-Яга отпустила её домой и дала огонь. Когда Василиса Прекрасная вернулась домой, этот волшебный огонь сжёг злую мачеху и её дочерей.                ","A2, B1"
"— Не трогай, — говорит, — моих деревьев: ведь они все живые, тоже жить хотят. Лучше попроси у меня, чего тебе надобно, — всё дам.",0.398878029096264,"— Не руби мои деревья! Они все живые и тоже жить хотят! Лучше попроси у меня всё, что хочешь.",B1
«Убью этого зайца! — думает царевич. — Очень уж есть хочется…»,0.92226801580657,«Убью этого зайца! — думает царевич. — Очень есть хочется…»,"A2, B1"
"Барин говорит: «Давай, мужик, меняться на тулуп». Мужик говорит: «Барин, придачу надо!» — «Сколько?» — «Пятерочку».",0.184295668987322,"Барин говорит:   — Давай, мужик, поменяем мою шубу на твой кафтан.  ",B1
"Барин достает пять рублей, мужик берет их и подает барину кафтан, а у барина берет шубу. Барин надел кафтан и поехал. А мужик взял шубу и пошагал домой.",0.178037132667627,"— Пять рублей, — отвечает мужик. ",B1
"Катится Колобок по дороге, навстречу ему Заяц:",0.529248103711643,"Колобок лежал, лежал и вдруг покатился с окна на лавку, с лавки на пол, а потом — на улицу. Катится Колобок по дороге, навстречу ему Заяц:",A1
"Царевич взял жар-птицу, пошел за город, сел на коня златогривого вместе с прекрасной королевной Еленою и поехал в свое отечество, в государство царя Выслава Андроновича.",0.31566373544203,"Пришло время отдавать коня златогривого. Попросил Иван-царевич Серого Волка опять помочь ему. Превратился волк в коня, и отдал его Иван царю Долмату. Получил Иван-царевич жар-птицу, и вместе с Еленой Прекрасной сели они на настоящего златогривого коня и поехали дальше. На следующий день Серый волк опять превратился в волка и побежал за Иваном и Еленой Прекрасной.","B1, B2"
"— Ну как, мужичок, надумал, чего тебе надобно?",0.293481304457737,"— Ну, старик, придумал, что тебе нужно?",B1
"Думали, думали старик со старухой — ничего придумать не могут: всё, что нужно, у них есть, а чего нет, то они своими трудами всегда заработать могут. Встал старик с лавки и говорит:",0.732534346154847,"Думали, думали старик со старухой — ничего придумать не могут: всё, что нужно, у них есть. А чего нет, то они своим трудом всегда заработать могут.",B1
"Прицелился он, а медведь вдруг и говорит ему человеческим голосом:",0.380727115534484,"Иван-царевич хотел его убить, а селезень говорит человеческим голосом:","A2, B1"
"Пустил стрелу старший брат. Упала стрела на боярский двор, и подняла ее боярская дочь. Пустил стрелу средний брат — полетела стрела к богатому купцу во двор. Подняла ее купеческая дочь. Пустил стрелу Иван-царевич — полетела его стрела прямо в топкое болото, и подняла ее лягушка-квакушка…",0.520696565446246,"Стрела старшего брата прилетела на боярский двор, и подняла ее боярская дочь.","A2, B1"
"И опять покатился — только Медведь его и видел!
Катится Колобок, навстречу ему Лиса:
— Колобок, Колобок, куда катишься?",0.314775423932943,И покатился Колобок дальше.,A1
"Вот неделя, другая проходит, Еще пуще старуха вздурилась: Царедворцев за мужем посылает, Отыскали старика, привели к ней. Говорит старику старуха: «Воротись, поклонися рыбке. Не хочу быть вольною царицей, Хочу быть владычицей морскою, Чтобы жить мне в Окияне-море, Чтоб служила мне рыбка золотая И была б у меня на посылках».",0.253358635948524,"Вернулся старик к старухе. Перед ним дворец. Во дворце за столом сидит его старуха. Теперь она царица. Служат ей бояре и дворяне, а вокруг неё стоит стража. Испугался старик, поклонился старухе и спросил, довольна ли она теперь. Но на старика старуха даже не посмотрела, приказала из дворца его выгнать. Прошло время. Опять посылает старуха старика к золотой рыбке. Говорит, что уже не хочет быть просто царицей, а хочет быть царицей морской, и чтобы золотая рыбка служила ей.  ","A2, B1"
"Жили-были старик со старухой.
Вот и говорит старик старухе:
— Поди-ка, старуха, по коробу поскреби, по сусеку помети, не наскребешь ли муки на колобок.",0.117977109860179,"— Испеки, бабка, колобок.— У нас муки нет. — А ты иди поищи.",A1
"В некотором было царстве, в некотором государстве был-жил царь, по имени Выслав Андронович. У него было три сына-царевича: первый — Димитрий-царевич, другой — Василий-царевич, а третий — Иван-царевич.",0.37217776244068,"В некотором государстве жил-был царь. У него было три сына-царевича: первый — Дмитрий-царевич, второй — Василий-царевич, а третий — Иван-царевич. У этого царя был сад богатый, и была там яблоня с золотыми яблоками. Начала в сад этот летать жар-птица и уносить золотые яблоки. Дал царь задание своим сыновьям поймать птицу. В первую ночь пошёл в сад старший сын и проспал всю ночь. Во вторую ночь пошёл в сад средний сын и тоже проспал до утра. В третью ночь пошёл за жар-птицей младший сын Иван-царевич. Он не спал всю ночь. Прилетела жар-птица, схватил её Иван, но не удержал. Принёс царю только одно золотое перо. Посмотрел царь на это перо и захотел, чтобы такая красивая птица жила в его царстве. Послал царь сыновей за жар-птицей. Сели братья на коней и отправились в путь. Каждый поехал своей дорогой.","B1, B2"
"Вышел он к синему морю и видит: на берегу, на желтом песке, лежит щука-рыба. Говорит Иван-царевич:",0.636394550675264,Подошёл он к синему морю и видит: на берегу лежит щука. Говорит Иван-царевич:,"A2, B1"
"Надел старик шапку, вышли они на огород и принялись дочку из снега лепить. Скатали они снежной ком, ручки, ножки приладили, сверху снежную голову приставили. Вылепил старик носик, рот, подбородок. Глядь — а у Снегурочки губы порозовели, глазки открылись; смотрит она на стариков и улыбается. Потом закивала головкой, зашевелила ручками, ножками, стряхнула с себя снег — и вышла из сугроба живая девочка. Обрадовались старики, привели ее в избу. Глядят на нее, не налюбуются. И стала расти у стариков дочка не по дням, а по часам; что ни день, то все краше становится. Сама беленькая, точно снег, коса русая до пояса, только румянца нет вовсе. Не нарадуются старики на дочку, души в ней не чают. Растет дочка и умная, и смышленая, и веселая. Со всеми ласковая, приветливая. И работа у Снегурочки в руках спорится, а песню запоет — заслушаешься.",0.467461291868161,"Жили-были дед и баба. Жили они хорошо, дружно, но детей у них не было. Пришла зима снежная, вышли дети на улицу играть, а дед и баба на них из окна смотрят и грустят. И решили они из снега себе дочку сделать. Надел дед шапку, вышли они на улицу и начали дочку из снега лепить. Сделали они из снега руки, ноги, сверху снежную голову поставили. Сделал дед нос, рот, глаза. Смотрят, у Снегурочки губы стали розовыми, глаза открылись. Стоит Снегурочка и улыбается. Вышла из снега живая девочка. Обрадовались старики, привели её в дом. Смотрят на неё – любуются. Стала быстро расти девочка: красивая, белая как снег, волосы длинные русые. Радуются дед с бабой. Растёт дочка умная, весёлая, добрая. И работает хорошо Снегурочка, и поёт хорошо. Пришла весна. На небе тёплое весеннее солнышко, на земле зелёная трава, птицы поют. А Снегурочка стала грустной. Не радуют её цветы и птицы, только и ждёт она дождя и прохлады. За весной лето пришло. Собрались девушки в лес, позвали Снегурочку гулять, песни петь и танцевать. Пришли девушки в лес. Стали цветы собирать, песни петь, танцевать. Только одной Снегурочке невесело. Вечером сделали они костёр и начали через него прыгать. Прыгнула и Снегурочка, но вдруг стала белым облаком. Полетело облако высоко в небо.  ","A1, A2"
"— Что же ты, брат, без жены пришел? Хоть бы в платочке ее принес, дал бы нам всем послушать, как она квакает!",0.367862446456368,— Что же ты без жены пришёл?,"A2, B1"
"— Колобок, Колобок, я тебя съем!
— Не ешь меня, Заяц, я тебе песенку спою:
Я Колобок, Колобок,
Я по коробу скребен,
По сусеку метен,
На сметане мешон
Да в масле пряжон,
На окошке стужон.
Я от дедушки ушел,
Я от бабушки ушел,
От тебя, зайца, подавно уйду!",0.385287419239939,"— Колобок, Колобок, я тебя съем! — Не ешь меня, Заяц, я тебе песенку спою: Я Колобок, Колобок, Я от дедушки ушёл, Я от бабушки ушёл, От тебя, Заяц, тоже уйду!",A1
Вдруг бежит навстречу ему косой заяц.,0.650761975753665,Вдруг бежит заяц.,"A2, B1"
"— Я, старуха, придумал, чего у Лесного Деда просить надо!",0.45996909813913,"— А я придумал, что у Лесного Деда попросить!",B1
"— Его смерть — на конце иглы, та игла — в яйце, то яйцо — в утке, та утка — в зайце, тот заяц — в кованом ларце, а тот ларец — на вершине старого дуба. А дуб тот в дремучем лесу растет.",0.610960437785779,"— Знаю, знаю! — говорит Баба-Яга. — Она теперь у злого Кощея Бессмертного. И рассказала она Ивану-царевичу, что смерть Кощея — на конце иглы, та игла — в яйце, то яйцо — в утке, та утка — в зайце, тот заяц — в ларце, а ларец — на старом дубе.","A2, B1"
"Вот пришли все три брата к царю, принесли каждый свой ковер. Царь прежде взял ковер у старшего царевича, посмотрел и молвил:",0.422928868323366,"Утром пришли все три брата к царю, принесли каждый свой ковёр. Царю ковры старших царевичей не понравились. А ковёр Ивана-царевича царь приказал использовать только в большие праздники.","A2, B1"
"Жил старик со своею старухой У самого синего моря; Они жили в ветхой землянке Ровно тридцать лет и три года. Старик ловил неводом рыбу, Старуха пряла свою пряжу. Раз он в море закинул невод, — Пришел невод с одною тиной. Он в другой раз закинул невод, Пришел невод с травой морскою. В третий раз закинул он невод, — Пришел невод с одною рыбкой, С непростою рыбкой, — золотою. Как взмолится золотая рыбка! Голосом молвит человечьим: «Отпусти ты, старче, меня в море, Дорогой за себя дам откуп: Откуплюсь чем только пожелаешь». Удивился старик, испугался: Он рыбачил тридцать лет и три года И не слыхивал, чтоб рыба говорила. Отпустил он рыбку золотую И сказал ей ласковое слово: «Бог с тобою, золотая рыбка! Твоего мне откупа не надо; Ступай себе в синее море, Гуляй там себе на просторе».",0.23940707054675,"Жили-были старик со старухой около синего моря. Они жили в старом маленьком доме тридцать лет и три года. Старик ловил рыбу, а старуха пряла пряжу. Однажды пошёл старик к морю, бросил сеть, но ничего не поймал. Второй раз бросил он сеть в море, но вытащил только траву морскую. Третий раз бросил старик сеть в море и вытащил одну золотую рыбку. Заговорила вдруг золотая рыбка человеческим голосом, попросила старика отпустить её обратно в море и пообещала исполнить любое его желание. ","A2, B1"
"Вышли братья на широкий отцовский двор, натянули свои тугие луки и выстрелили.",0.499154678145512,"Вышли братья на широкий двор, выстрелили. Полетели их стрелы в разные стороны.","A2, B1"
"Пожалел Иван-царевич селезня — не тронул его, пошел дальше голодный.",0.328402354690698,Пошёл Иван-царевич голодным дальше.,"A2, B1"
"А старшие братья явились во дворец со своими женами, разодетыми, разубранными. Стоят да над Иваном-царевичем посмеиваются:",0.335325991783904,"Братья пришли со своими женами, одетыми в дорогую одежду. Стали они смеяться над Иваном:","A2, B1"
"Положила каравай на золотое блюдо, проводила Ивана-царевича к отцу.",0.170392521164207,"Утром проснулся Иван-царевич, взял хлеб и пошёл к отцу.","A2, B1"
"— Как мне не печалиться! — отвечает Иван-царевич. — Приказал мой батюшка, чтобы ты сама испекла к утру каравай хлеба…",0.193399399326496,"На следующий день сказал царь, чтобы жёны испекли хлеб.","A2, B1"
"— Не тужи, Иван-царевич! Ложись-ка лучше спать-почивать: утро вечера мудренее!",0.705336104676927,"— Не грусти, Иван-царевич! Ложись лучше спать: утро вечера мудренее!","A2, B1"
"Барин говорит: «Давай, мужик, меняться на тулуп». Мужик говорит: «Барин, придачу надо!» — «Сколько?» — «Пятерочку».",0.086315295740806,Мужик отвечает:  ,B1
"Думали, думали старик со старухой — ничего придумать не могут: всё, что нужно, у них есть, а чего нет, то они своими трудами всегда заработать могут. Встал старик с лавки и говорит:",0.158670144467052,Вдруг старик говорит:,B1
"— Сходи-ка ты в лес, старик, выруби деревце, сделаем новую прялку да ручку к ножу.",0.458857437872295,"— Пойди в лес, сруби деревце. Сделаем новую прялку и ручку для ножа,— сказала старуха.",B1
"— Ну, хочешь, попросим большое-пребольшое стадо коров и овец?",0.335647128365716,"— Хочешь, попросим много коров и овец? — говорит старик.",B1
"Обрадовался царевич, разбил яйцо, достал иглу и отломил у нее кончик. И только отломил — умер Кощей Бессмертный, прахом рассыпался.",0.518870714700397,"Обрадовался царевич, разбил яйцо, достал иглу, сломал её, и Кощей Бессмертный сразу умер.","A2, B1"
"— Ах, Иван-царевич, что же ты наделал! Если бы ты еще три дня подождал, я бы вечно твоею была. А теперь прощай, ищи меня за тридевять земель, за тридевять морей, в тридесятом царстве, в подсолнечном государстве, у Кощея Бессмертного. Как три пары железных сапог износишь, как три железных хлеба изгрызешь — только тогда и разыщешь меня…",0.532076979945881,"— Ах, Иван-царевич, что же ты сделал! Если бы ты еще три дня подождал, я бы всегда твоей была, а теперь прощай, ищи меня у Кощея Бессмертного.","A2, B1"
"Старик не осмелился перечить, Не дерзнул поперек слова молвить. Вот идет он к синему морю, Видит, на море черная буря: Так и вздулись сердитые волны, Так и ходят, так воем и воют. Стал он кликать золотую рыбку. Приплыла к нему рыбка, спросила: «Чего тебе надобно, старче?» Ей старик с поклоном отвечает: «Смилуйся, государыня рыбка! Что мне делать с проклятою бабой? Уж не хочет быть она царицей, Хочет быть владычицей морскою; Чтобы жить ей в Окияне-море, Чтобы ты сама ей служила И была бы у ней на посылках». Ничего не сказала рыбка, Лишь хвостом по воде плеснула И ушла в глубокое море. Долго у моря ждал он ответа, Не дождался, к старухе воротился — Глядь: опять перед ним землянка; На пороге сидит его старуха, А пред нею разбитое корыто.",0.380207695236927,"И опять пошёл старик к синему морю. Видит, что на море сильная буря. Стал он звать золотую рыбку. Приплыла к нему рыбка, спросила, чего он хочет. Поклонился старик, рассказал ей о новом желании старухи. Ничего не сказала золотая рыбка и ушла в глубокое море. Долго старик  ждал ответа около моря, но не вернулась золотая рыбка, не дала ему ответа. Вернулся старик к старухе. Опять видит их старый дом. Рядом сидит его старуха, а перед ней разбитое корыто. ","A2, B1"
"Взяла старуха крылышко, по коробу поскребла, по сусеку помела и наскребла муки горсти две.
Замесила муку на сметане, состряпала колобок, изжарила в масле и на окошко студить положила.",0.133944216623731,"Бабка поискала и нашла немного муки. Испекла колобок. Он был горячий, поэтому бабка положила его на окно.",A1
"Колобок вскочил Лисе на нос и запел погромче ту же песенку.
А Лиса опять ему:
— Колобок, Колобок, сядь ко мне на язычок да пропой в последний разок.
Колобок прыг Лисе на язык, а Лиса его — гам! — и съела.",0.338813822465368,"А Лиса говорит: — Ах, песенка хорошая, но я плохо слышу. Колобок, Колобок, сядь ко мне на нос и спой ещё раз. Колобок сел Лисе на нос, начал петь, а она его — ам! — и съела.",A1
"Вот пришли все три брата к царю, принесли каждый свой ковер. Царь прежде взял ковер у старшего царевича, посмотрел и молвил:",0.253165016593254,"Пришли и старшие братья, принесли каждый свой хлеб. Царь был очень недоволен, потому что хлеб был некрасивым и невкусным.","A2, B1"
"— Не убивай меня, Иван-царевич! Будет время — я тебе пригожусь.",0.708364558323133,"— Не убивай меня, Иван-царевич! Я тебе пригожусь.","A2, B1"
"Рубит мужик дрова. Мороз градусов тридцать пять. Так расстарался мужик, что ему стало жарко. Он снял с себя кафтан и положил на пень. И старается — рубит дрова. Пот с него градом. Едет барин на тройке. Кучеру говорит: «Остановись!» Подзывает барин мужика, говорит: «Мужик, что такое — мне в тулупе холодно, а ты в одной рубахе — и пот градом?». Мужик и говорит: «Что мне твой тулуп! У меня кафтан волшебный. На пне лежит, а мне жарко».",0.234605400330812,"— Мужик, почему мне в шубе холодно, а ты в одной рубашке, и с тебя пот градом?  ",B1
"— Не убивай меня, Иван-царевич! Будет время — я тебе пригожусь.",0.708364558323133,"— Не убивай меня, Иван-царевич! Я тебе пригожусь.","A2, B1"
"— Ква-ква, Иван-царевич, — говорит лягушка-квакушка, — почему так печалишься? Или услышал от отца своего слово недоброе?",0.455232832461431,"— Ква-ква, Иван-царевич, — говорит лягушка, — почему ты такой грустный? Рассказал Иван жене о новом задании отца.","A2, B1"
"Выбрал Иван-царевич лучшего скакуна из Кощеевой конюшни, сел на него с Василисой Премудрой и воротился в свое царство-государство.",0.346207260592951,Вышла из дворца Василиса Премудрая. Сели Иван-царевич и Василиса Премудрая на коня и вернулись в своё царство-государство.,"A2, B1"
